name,issn,publisher
,,MDPI
,,Multidisciplinary Digital Publishing Institute
,,Frontiers
,,Frontiers Media
,,Hindawi
,,Hindawi Limited
Oncotarget,1949-2553,
Cancer Management and Research,1179-1347,
Therapeutics and Clinical Risk Management,1176-6336,
Diabetes Metabolic Syndrome and Obesity,1178-7007,
Drug Design Development and Therapy,1177-8881,
Clinical Interventions in Aging,1178-1998,
Psychology Research and Behavior Management,1179-1578,
Journal of Inflammation Research,1178-7031,
Journal of Pain Research,1178-7090,
Neuropsychiatric Disease and Treatment,1176-6328,
Clinical Epidemiology,1179-1349,
Risk Management and Healthcare Policy,1179-1594,
Journal of Healthcare Engineering,2040-2295,
Computational Intelligence and Neuroscience,1687-5265,
Mobile Information Systems,1574-017X,
Wireless Communications and Mobile Computing,1530-8669,
Oxidative Medicine and Cellular Longevity,1942-0994,
Journal of Nanomaterials,1687-4110,
BioMed Research International,2314-6133,
Evidence-Based Complementary and Alternative Medicine,1741-427X,
Mathematical Problems in Engineering,1024-123X,
Complexity,1076-2787,
Shock and Vibration,1070-9622,
Advances in Civil Engineering,1687-8086,
Discrete Dynamics in Nature and Society,1026-0226,
Abstract and Applied Analysis,1085-3375,
International Journal of Mathematics and Mathematical Sciences,0161-1712,
Scientific Programming,1058-9244,
EURASIP Journal on Advances in Signal Processing,1687-6180,
International Journal of Antennas and Propagation,1687-5922,
Artificial Intelligence Review,0269-2821,
Soft Computing,1432-7643,
Multimedia Tools and Applications,1380-7501,
International Journal of Machine Learning and Cybernetics,1868-8071,
Cluster Computing,1386-7857,
Neural Computing and Applications,0941-0643,
Journal of Supercomputing,0920-8542,
SN Applied Sciences,2523-3971,
Applied Nanoscience,2190-5509,
Microsystem Technologies,0946-7076,
Journal of Computational Science,1877-7503,
International Journal of Information Technology,2511-2104,
Arabian Journal for Science and Engineering,2193-5679,
Journal of King Saud University Computer and Information Sciences,1319-1578,
IEEE Access,2169-3536,
PLOS ONE,1932-6203,
Sensors,1424-8220,
Electronics,2079-9292,
Symmetry,2073-8994,
Entropy,1099-4300,
Remote Sensing,2072-4292,
Scientific Reports,2045-2322,
Mathematics,2227-7390,
